"out_object_name";"out_object_suffix";"out_application";"out_functionality";"in_object_name"
"OUT_LDD_CUST_RATING_KRIMI_STG";"STG";"LDD";"CUST_RATING_KRIMI_STG";"OUT_LDD_CUST_RATING_KRIMI_STG"
"OUT_CCF_DEFAULT_HISTORY";"HISTORY";"CCF";"DEFAULT_HISTORY";"OUT_CCF_DEFAULT_HISTORY"
"OUT_SB_INTEREST_ADJUSTMENTS";"ADJUSTMENTS";"SB";"INTEREST_ADJUSTMENTS";"OUT_SB_INTEREST_ADJUSTMENTS"
"OUT_LDD_TREASURY";"H";"LDD";"TREASURY";"OUT_LDD_TREASURY_H"
"OUT_LDD_PRECACC_PROV3112";"PROV3112";"LDD";"PRECACC_PROV3112";"OUT_LDD_PRECACC_PROV3112"
"OUT_LDD_WORKOUT_EXP_INC";"BK";"LDD";"WORKOUT_EXP_INC";"OUT_LDD_WORKOUT_EXP_INC_BK"
"OUT_LDD_PRECACC_DEALS";"DEALS";"LDD";"PRECACC_DEALS";"OUT_LDD_PRECACC_DEALS"
"OUT_LDD_RESULT_DEAL";"DEAL";"LDD";"RESULT_DEAL";"OUT_LDD_RESULT_DEAL"
"OUT_LDD_CUSTOMER_CORR";"H";"LDD";"CUSTOMER_CORR";"OUT_LDD_CUSTOMER_CORR_H"
"OUT_SOA_AXA_CARD_INCHIS";"MV";"SOA";"AXA_CARD_INCHIS";"OUT_SOA_AXA_CARD_INCHIS_MV"
"OUT_LDD_WORKOUT_DEF_EVENT_CORR";"CORR";"LDD";"WORKOUT_DEF_EVENT_CORR";"OUT_LDD_WORKOUT_DEF_EVENT_CORR"
"OUT_LDD_COLLATERAL";"COLLATERAL";"LDD";"COLLATERAL";"OUT_LDD_COLLATERAL"
"OUT_SB_INDICATORS";"BKP0305";"SB";"INDICATORS";"OUT_SB_INDICATORS_BKP0305"
"OUT_SCO_CUSTOMER_COLL";"COLL";"SCO";"CUSTOMER_COLL";"OUT_SCO_CUSTOMER_COLL"
"OUT_SCO_CUSTOMER_DEAL";"DEAL";"SCO";"CUSTOMER_DEAL";"OUT_SCO_CUSTOMER_DEAL"
"OUT_LDD_COLL_ACCOUNT_CORR";"H";"LDD";"COLL_ACCOUNT_CORR";"OUT_LDD_COLL_ACCOUNT_CORR_H"
"OUT_LDD_CUSTOMER_REL_CORR";"CORR";"LDD";"CUSTOMER_REL_CORR";"OUT_LDD_CUSTOMER_REL_CORR"
"OUT_OVD_RENEWAL";"RENEWAL";"OVD";"RENEWAL";"OUT_OVD_RENEWAL"
"OUT_LDD_SECURITY";"SECURITY";"LDD";"SECURITY";"OUT_LDD_SECURITY"
"OUT_LDD_TREASURY_CORR";"H";"LDD";"TREASURY_CORR";"OUT_LDD_TREASURY_CORR_H"
"OUT_LDD_BASE_VAL_ALOC";"ALOC";"LDD";"BASE_VAL_ALOC";"OUT_LDD_BASE_VAL_ALOC"
"OUT_LDD_COLL_DEAL_CORR";"H";"LDD";"COLL_DEAL_CORR";"OUT_LDD_COLL_DEAL_CORR_H"
"OUT_AML_BRANCH";"BRANCH";"AML";"BRANCH";"OUT_AML_BRANCH"
"OUT_AML_COUNTY";"COUNTY";"AML";"COUNTY";"OUT_AML_COUNTY"
"OUT_AML_DEVICE";"DEVICE";"AML";"DEVICE";"OUT_AML_DEVICE"
"OUT_LDD_COLL_DEAL";"DEAL";"LDD";"COLL_DEAL";"OUT_LDD_COLL_DEAL"
"OUT_LDD_ACC_STG2_HUGETAB";"HUGETAB";"LDD";"ACC_STG2_HUGETAB";"OUT_LDD_ACC_STG2_HUGETAB"
